
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
   1 24 2018    0.00    0.00    0.00    1.25    0.89    0.00    0.00    0.00  -11.62   10.23    0.00    0.00     1.2    0.14
   2 24 2018    0.00    0.00    0.00    1.37    1.17   -0.01    0.00    0.00   -2.22    0.74    0.00    0.00     2.6    0.12
   3 24 2018    0.00    0.00    0.00    0.86    0.72    0.00    0.00    0.00   -1.11    0.24    0.00    0.00     3.5    0.01
   4 24 2018    0.00    0.00    0.00    0.63    0.49    0.00    0.00    0.00   -0.73    0.09    0.00    0.00     4.1    0.00
   5 24 2018    0.04    0.02    0.02    0.77    0.60    0.00    0.00    0.00   -0.81    0.07    0.00    0.02     4.9   -0.03
   6 24 2018    1.04    2.55    0.06    1.12    0.46    0.01    0.00    0.00   -0.60    0.06    0.00    0.20     6.0    0.22
   7 24 2018    1.92    2.57    0.00    1.20    0.09   -0.01    1.22    0.00   -0.64    0.04    0.00    0.00     7.2    0.36
   8 24 2018    0.00    0.66    0.00    0.80    0.76    0.00   -0.66    0.00   -0.15    0.03    0.00    0.00     8.0   -0.02
   9 24 2018    0.13    0.40    0.06    1.36    1.20    0.00   -0.56    0.00   -0.74    0.01    0.00    0.00     9.4   -0.02
  10 24 2018    2.96    2.20    0.21    1.74    0.37    0.00    1.41    0.00   -0.38    0.01    0.00    0.00    11.1    0.04
  11 24 2018    2.08    0.00    0.08    1.28    0.00    0.00    1.19    0.00   -0.27    0.01    0.00    0.00    12.4    0.00
  12 24 2018    3.88    0.00    0.02    2.04    0.00    0.00    2.00    0.00   -0.20    0.00    0.00    0.00    14.4    0.10
  13 24 2018    0.96    0.00    0.00    0.55    0.00    0.00    0.56    0.00   -0.22    0.00    0.00    0.00    15.0    0.09
  14 24 2018    0.04    0.00    0.02    0.17    0.05   -0.01    0.06    0.00   -0.10    0.00    0.00    0.00    15.1   -0.10
  15 24 2018    0.96    0.00    0.00    0.53    0.00    0.00    0.57    0.00   -0.13    0.00    0.00    0.00    15.7    0.01
  16 24 2018    0.00    0.00    0.00    0.03    0.01   -0.01    0.02    0.00   -0.72    0.00    0.00    0.00    15.7    0.68
  17 24 2018    0.00    0.00    0.00    0.02    0.02    0.01   -0.03    0.00   -0.13    0.00    0.00    0.00    15.7    0.13
  18 24 2018    0.00    0.70    0.00    0.64    0.61    0.00   -0.79    0.00    0.17    0.00    0.00    0.00    16.3   -0.01
  19 24 2018    0.00    0.81    0.00    0.90    0.89    0.00   -0.82    0.00   -0.08    0.00    0.00    0.00    17.2    0.00
  20 24 2018    0.58    0.44    0.30    0.46    0.45    0.01   -0.10    0.00   -0.07    0.00    0.00    0.00    17.7    0.00
